article;name;standard;dy;thread;angle;armature;seria;usit;o_ring;s_key
22611-08-04;06 BSP 1/2 (0)(Г);BSP;6;1_2;0;гайка;легкая;false;false;null
22641-08-04;06 BSP 1/2 (45)(Г);BSP;6;1_2;45;гайка;легкая;false;false;null
22691-08-04;06 BSP 1/2 (90)(Г);BSP;6;1_2;90;гайка;легкая;false;false;null
12611-08-04;06 BSP 1/2 (Ш);BSP;6;1_2;0;штуцер;легкая;false;false;null
12611A-08-04;06 BSP 1/2 (Ш) S=27;BSP;6;1_2;0;штуцер;легкая;true;false;27
22611-04-04;06 BSP 1/4 (0)(Г);BSP;6;1_4;0;гайка;легкая;false;false;null
22611-04-04OR;06 BSP 1/4 (0)(Г) o-ring;BSP;6;1_4;0;гайка;легкая;false;true;null
22641-04-04;06 BSP 1/4 (45)(Г);BSP;6;1_4;45;гайка;легкая;false;false;null
22692-04-04;06 BSP 1/4 (90)(Г);BSP;6;1_4;90;гайка;тяжелая;false;false;null
22691-04-04;06 BSP 1/4 (90)(Г);BSP;6;1_4;90;гайка;легкая;false;false;null
22691-04-04OR;06 BSP 1/4 (90)(Г) o-ring;BSP;6;1_4;90;гайка;легкая;false;true;null
12611-04-04 S14;06 BSP 1/4 (Ш) S=14;BSP;6;1_4;0;штуцер;легкая;false;false;14
12611-04-04 S17;06 BSP 1/4 (Ш) S=17;BSP;6;1_4;0;штуцер;легкая;false;false;17
12611A-04-04;06 BSP 1/4 (Ш) S=19;BSP;6;1_4;0;штуцер;легкая;true;false;19
22611-02-04;06 BSP 1/8 (0)(Г);BSP;6;1_8;0;гайка;легкая;false;false;null
22641-02-04;06 BSP 1/8 (45)(Г);BSP;6;1_8;45;гайка;легкая;false;false;null
22691-02-04;06 BSP 1/8 (90)(Г);BSP;6;1_8;90;гайка;легкая;false;false;null
12611-02-04;06 BSP 1/8 (Ш) S=12;BSP;6;1_8;0;штуцер;легкая;false;false;12
12611A-02-04;06 BSP 1/8 (Ш) S=14;BSP;6;1_8;0;штуцер;легкая;true;false;14
22611-06-04;06 BSP 3/8 (0)(Г);BSP;6;3_8;0;гайка;легкая;false;false;null
22641-06-04;06 BSP 3/8 (45)(Г);BSP;6;3_8;45;гайка;легкая;false;false;null
22691-06-04;06 BSP 3/8 (90)(Г);BSP;6;3_8;90;гайка;легкая;false;false;null
12611-06-04;06 BSP 3/8 (Ш) S=17;BSP;6;3_8;0;штуцер;легкая;false;false;17
12611A-06-04;06 BSP 3/8 (Ш) S=22;BSP;6;3_8;0;штуцер;легкая;true;false;22
22611-08-05;08 BSP 1/2 (0)(Г);BSP;8;1_2;0;гайка;легкая;false;false;null
22641-08-05;08 BSP 1/2 (45)(Г);BSP;8;1_2;45;гайка;легкая;false;false;null
22691-08-05;08 BSP 1/2 (90)(Г);BSP;8;1_2;90;гайка;легкая;false;false;null
12611-08-05;08 BSP 1/2 (Ш) S=22;BSP;8;1_2;0;штуцер;легкая;false;false;22
12611A-08-05;08 BSP 1/2 (Ш) S=27;BSP;8;1_2;0;штуцер;легкая;true;false;27
22611-04-05;08 BSP 1/4 (0)(Г);BSP;8;1_4;0;гайка;легкая;false;false;null
22641-04-05;08 BSP 1/4 (45)(Г);BSP;8;1_4;45;гайка;легкая;false;false;null
22691-04-05;08 BSP 1/4 (90)(Г);BSP;8;1_4;90;гайка;легкая;false;false;null
12611-04-05;08 BSP 1/4 (Ш) S=17;BSP;8;1_4;0;штуцер;легкая;false;false;17
12611A-04-05;08 BSP 1/4 (Ш) S=19;BSP;8;1_4;0;штуцер;легкая;true;false;19
22611-06-05;08 BSP 3/8 (0)(Г);BSP;8;3_8;0;гайка;легкая;false;false;null
22641-06-05;08 BSP 3/8 (45)(Г);BSP;8;3_8;45;гайка;легкая;false;false;null
22691-06-05;08 BSP 3/8 (90)(Г);BSP;8;3_8;90;гайка;легкая;false;false;null
12611-06-05;08 BSP 3/8 (Ш) S=17;BSP;8;3_8;0;штуцер;легкая;false;false;17
12611A-06-05;08 BSP 3/8 (Ш) S=22;BSP;8;3_8;0;штуцер;легкая;true;false;22
22611-08-06;10 BSP 1/2 (0)(Г);BSP;10;1_2;0;гайка;легкая;false;false;null
22641-08-06;10 BSP 1/2 (45)(Г);BSP;10;1_2;45;гайка;легкая;false;false;null
22692-08-06;10 BSP 1/2 (90)(Г);BSP;10;1_2;90;гайка;тяжелая;false;false;null
22691-08-06;10 BSP 1/2 (90)(Г);BSP;10;1_2;90;гайка;легкая;false;false;null
12611-08-06;10 BSP 1/2 (Ш) S=22;BSP;10;1_2;0;штуцер;легкая;false;false;22
12612-08-06;10 BSP 1/2 (Ш) S=22;BSP;10;1_2;0;штуцер;тяжелая;false;false;22
12611А-08-06;10 BSP 1/2 (Ш) S=27;BSP;10;1_2;0;штуцер;легкая;true;false;27
12612А-08-06;10 BSP 1/2 (Ш) S=27;BSP;10;1_2;0;штуцер;тяжелая;true;false;27
22611-04-06;10 BSP 1/4 (0)(Г);BSP;10;1_4;0;гайка;легкая;false;false;null
22641-04-06;10 BSP 1/4 (45)(Г);BSP;10;1_4;45;гайка;легкая;false;false;null
22691-04-06;10 BSP 1/4 (90)(Г);BSP;10;1_4;90;гайка;легкая;false;false;null
12611-04-06;10 BSP 1/4 (Ш) S=17;BSP;10;1_4;0;штуцер;легкая;false;false;17
12611A-04-06;10 BSP 1/4 (Ш) S=19;BSP;10;1_4;0;штуцер;легкая;true;false;19
22611-02-06;10 BSP 1/8 (0)(Г);BSP;10;1_8;0;гайка;легкая;false;false;null
22641-02-06;10 BSP 1/8 (45)(Г);BSP;10;1_8;45;гайка;легкая;false;false;null
22691-02-06;10 BSP 1/8 (90)(Г);BSP;10;1_8;90;гайка;легкая;false;false;null
12611-02-06;10 BSP 1/8 (Ш);BSP;10;1_8;0;штуцер;легкая;false;false;null
12611A-02-06;10 BSP 1/8 (Ш);BSP;10;1_8;0;штуцер;легкая;true;false;null
22612-06-06;10 BSP 3/8 (0)(Г);BSP;10;3_8;0;гайка;тяжелая;false;false;null
22611-06-06;10 BSP 3/8 (0)(Г);BSP;10;3_8;0;гайка;легкая;false;false;null
22611-06-06OR;10 BSP 3/8 (0)(Г) o-ring;BSP;10;3_8;0;гайка;легкая;false;true;null
22641-06-06;10 BSP 3/8 (45)(Г);BSP;10;3_8;45;гайка;легкая;false;false;null
22692-06-06;10 BSP 3/8 (90)(Г);BSP;10;3_8;90;гайка;тяжелая;false;false;null
22691-06-06;10 BSP 3/8 (90)(Г);BSP;10;3_8;90;гайка;легкая;false;false;null
22691-06-06OR;10 BSP 3/8 (90)(Г) o-ring;BSP;10;3_8;90;гайка;легкая;false;true;null
12611-06-06 S17;10 BSP 3/8 (Ш) S=17;BSP;10;3_8;0;штуцер;легкая;false;false;17
12612-06-06 S17;10 BSP 3/8 (Ш) S=17;BSP;10;3_8;0;штуцер;тяжелая;false;false;17
12611-06-06 S19;10 BSP 3/8 (Ш) S=19;BSP;10;3_8;0;штуцер;легкая;false;false;19
12611A-06-06;10 BSP 3/8 (Ш) S=22;BSP;10;3_8;0;штуцер;легкая;true;false;22
22612-08-08;12 BSP 1/2 (0)(Г);BSP;12;1_2;0;гайка;тяжелая;false;false;null
22611-08-08;12 BSP 1/2 (0)(Г);BSP;12;1_2;0;гайка;легкая;false;false;null
22612-08-08OR;12 BSP 1/2 (0)(Г) o-ring;BSP;12;1_2;0;гайка;тяжелая;false;true;null
22611-08-08OR;12 BSP 1/2 (0)(Г) o-ring;BSP;12;1_2;0;гайка;легкая;false;true;null
22642-08-08;12 BSP 1/2 (45)(Г);BSP;12;1_2;45;гайка;тяжелая;false;false;null
22641-08-08;12 BSP 1/2 (45)(Г);BSP;12;1_2;45;гайка;легкая;false;false;null
22692-08-08;12 BSP 1/2 (90)(Г);BSP;12;1_2;90;гайка;тяжелая;false;false;null
22691-08-08;12 BSP 1/2 (90)(Г);BSP;12;1_2;90;гайка;легкая;false;false;null
22692-08-08OR;12 BSP 1/2 (90)(Г) o-ring;BSP;12;1_2;90;гайка;тяжелая;false;true;null
22691-08-08OR;12 BSP 1/2 (90)(Г) o-ring;BSP;12;1_2;90;гайка;легкая;false;true;null
12612-08-08;12 BSP 1/2 (Ш) S=22;BSP;12;1_2;0;штуцер;тяжелая;false;false;22
12611-08-08;12 BSP 1/2 (Ш) S=22;BSP;12;1_2;0;штуцер;легкая;false;false;22
12611A-08-08;12 BSP 1/2 (Ш) S=27;BSP;12;1_2;0;штуцер;легкая;true;false;27
12612А-08-08;12 BSP 1/2 (Ш) S=27;BSP;12;1_2;0;штуцер;тяжелая;true;false;27
22611-04-08;12 BSP 1/4 (0)(Г);BSP;12;1_4;0;гайка;легкая;false;false;null
22612-04-08;12 BSP 1/4 (0)(Г);BSP;12;1_4;0;гайка;тяжелая;false;false;null
22641-04-08;12 BSP 1/4 (45)(Г);BSP;12;1_4;45;гайка;легкая;false;false;null
22642-04-08;12 BSP 1/4 (45)(Г);BSP;12;1_4;45;гайка;тяжелая;false;false;null
22691-04-08;12 BSP 1/4 (90)(Г);BSP;12;1_4;90;гайка;легкая;false;false;null
22692-04-08;12 BSP 1/4 (90)(Г);BSP;12;1_4;90;гайка;тяжелая;false;false;null
12611-04-08;12 BSP 1/4 (Ш) ;BSP;12;1_4;0;штуцер;легкая;false;false;null
12611A-04-08;12 BSP 1/4 (Ш) ;BSP;12;1_4;0;штуцер;легкая;true;false;null
12612-04-08;12 BSP 1/4 (Ш) ;BSP;12;1_4;0;штуцер;тяжелая;false;false;null
12612A-04-08;12 BSP 1/4 (Ш) ;BSP;12;1_4;0;штуцер;тяжелая;true;false;null
22612-12-08;12 BSP 3/4 (0)(Г);BSP;12;3_4;0;гайка;тяжелая;false;false;null
22611-12-08;12 BSP 3/4 (0)(Г);BSP;12;3_4;0;гайка;легкая;false;false;null
22641-12-08;12 BSP 3/4 (45)(Г);BSP;12;3_4;45;гайка;легкая;false;false;null
22642-12-08;12 BSP 3/4 (45)(Г);BSP;12;3_4;45;гайка;тяжелая;false;false;null
22692-12-08;12 BSP 3/4 (90)(Г);BSP;12;3_4;90;гайка;тяжелая;false;false;null
22691-12-08;12 BSP 3/4 (90)(Г);BSP;12;3_4;90;гайка;легкая;false;false;null
12611-12-08;12 BSP 3/4 (Ш) S=27;BSP;12;3_4;0;штуцер;легкая;false;false;27
12612-12-08;12 BSP 3/4 (Ш) S=27;BSP;12;3_4;0;штуцер;тяжелая;false;false;27
12611А-12-08;12 BSP 3/4 (Ш) S=32;BSP;12;3_4;0;штуцер;легкая;true;false;32
12612А-12-08;12 BSP 3/4 (Ш) S=32;BSP;12;3_4;0;штуцер;тяжелая;true;false;32
22612-06-08;12 BSP 3/8 (0)(Г);BSP;12;3_8;0;гайка;тяжелая;false;false;null
22611-06-08;12 BSP 3/8 (0)(Г);BSP;12;3_8;0;гайка;легкая;false;false;null
22642-06-08;12 BSP 3/8 (45)(Г);BSP;12;3_8;45;гайка;тяжелая;false;false;null
22641-06-08;12 BSP 3/8 (45)(Г);BSP;12;3_8;45;гайка;легкая;false;false;null
22692-06-08;12 BSP 3/8 (90)(Г);BSP;12;3_8;90;гайка;тяжелая;false;false;null
22691-06-08;12 BSP 3/8 (90)(Г);BSP;12;3_8;90;гайка;легкая;false;false;null
12612-06-08;12 BSP 3/8 (Ш) S=19;BSP;12;3_8;0;штуцер;тяжелая;false;false;19
12611-06-08;12 BSP 3/8 (Ш) S=19;BSP;12;3_8;0;штуцер;легкая;false;false;19
12611A-06-08;12 BSP 3/8 (Ш) S=22;BSP;12;3_8;0;штуцер;легкая;true;false;22
12612A-06-08;12 BSP 3/8 (Ш) S=22;BSP;12;3_8;0;штуцер;тяжелая;true;false;22
22612-10-08;12 BSP 5/8 (0)(Г);BSP;12;5_8;0;гайка;тяжелая;false;false;null
22611-10-08;12 BSP 5/8 (0)(Г);BSP;12;5_8;0;гайка;легкая;false;false;null
22642-10-08;12 BSP 5/8 (45)(Г);BSP;12;5_8;45;гайка;тяжелая;false;false;null
22641-10-08;12 BSP 5/8 (45)(Г);BSP;12;5_8;45;гайка;легкая;false;false;null
22692-10-08;12 BSP 5/8 (90)(Г);BSP;12;5_8;90;гайка;тяжелая;false;false;null
22691-10-08;12 BSP 5/8 (90)(Г);BSP;12;5_8;90;гайка;легкая;false;false;null
12611-10-08 S24;12 BSP 5/8 (Ш) S=24;BSP;12;5_8;0;штуцер;легкая;false;false;24
12612-10-08 S24;12 BSP 5/8 (Ш) S=24;BSP;12;5_8;0;штуцер;тяжелая;false;false;24
12611-10-08 S27;12 BSP 5/8 (Ш) S=27;BSP;12;5_8;0;штуцер;легкая;false;false;27
12612-10-08 S27;12 BSP 5/8 (Ш) S=27;BSP;12;5_8;0;штуцер;тяжелая;false;false;27
12611A-10-08;12 BSP 5/8 (Ш) S=30;BSP;12;5_8;0;штуцер;легкая;true;false;30
12612A-10-08;12 BSP 5/8 (Ш) S=30;BSP;12;5_8;0;штуцер;тяжелая;true;false;30
22612-08-10;16 BSP 1/2 (0)(Г);BSP;16;1_2;0;гайка;тяжелая;false;false;null
22611-08-10;16 BSP 1/2 (0)(Г);BSP;16;1_2;0;гайка;легкая;false;false;null
22641-08-10;16 BSP 1/2 (45)(Г);BSP;16;1_2;45;гайка;легкая;false;false;null
22642-08-10;16 BSP 1/2 (45)(Г);BSP;16;1_2;45;гайка;тяжелая;false;false;null
22691-08-10;16 BSP 1/2 (90)(Г);BSP;16;1_2;90;гайка;легкая;false;false;null
22692-08-10;16 BSP 1/2 (90)(Г);BSP;16;1_2;90;гайка;тяжелая;false;false;null
12612-08-10;16 BSP 1/2 (Ш) ;BSP;16;1_2;0;штуцер;тяжелая;false;false;null
12611-08-10;16 BSP 1/2 (Ш) ;BSP;16;1_2;0;штуцер;легкая;false;false;null
12612A-08-10;16 BSP 1/2 (Ш) S=27;BSP;16;1_2;0;штуцер;тяжелая;true;false;27
12611A-08-10;16 BSP 1/2 (Ш) S=27;BSP;16;1_2;0;штуцер;легкая;true;false;27
22612-12-10;16 BSP 3/4 (0)(Г);BSP;16;3_4;0;гайка;тяжелая;false;false;null
22611-12-10;16 BSP 3/4 (0)(Г);BSP;16;3_4;0;гайка;легкая;false;false;null
22642-12-10;16 BSP 3/4 (45)(Г);BSP;16;3_4;45;гайка;тяжелая;false;false;null
22641-12-10;16 BSP 3/4 (45)(Г);BSP;16;3_4;45;гайка;легкая;false;false;null
22692-12-10;16 BSP 3/4 (90)(Г);BSP;16;3_4;90;гайка;тяжелая;false;false;null
22691-12-10;16 BSP 3/4 (90)(Г);BSP;16;3_4;90;гайка;легкая;false;false;null
12611-12-10;16 BSP 3/4 (Ш) S=27;BSP;16;3_4;0;штуцер;легкая;false;false;27
12612-12-10;16 BSP 3/4 (Ш) S=27;BSP;16;3_4;0;штуцер;тяжелая;false;false;27
12611A-12-10;16 BSP 3/4 (Ш) S=32;BSP;16;3_4;0;штуцер;легкая;true;false;32
12612A-12-10;16 BSP 3/4 (Ш) S=32;BSP;16;3_4;0;штуцер;тяжелая;true;false;32
22612-10-10;16 BSP 5/8 (0)(Г);BSP;16;5_8;0;гайка;тяжелая;false;false;null
22611-10-10;16 BSP 5/8 (0)(Г);BSP;16;5_8;0;гайка;легкая;false;false;null
22612-10-10OR;16 BSP 5/8 (0)(Г) o-ring;BSP;16;5_8;0;гайка;тяжелая;false;true;null
22611-10-10OR;16 BSP 5/8 (0)(Г) o-ring;BSP;16;5_8;0;гайка;легкая;false;true;null
22642-10-10;16 BSP 5/8 (45)(Г);BSP;16;5_8;45;гайка;тяжелая;false;false;null
22641-10-10;16 BSP 5/8 (45)(Г);BSP;16;5_8;45;гайка;легкая;false;false;null
22692-10-10;16 BSP 5/8 (90)(Г);BSP;16;5_8;90;гайка;тяжелая;false;false;null
22691-10-10;16 BSP 5/8 (90)(Г);BSP;16;5_8;90;гайка;легкая;false;false;null
12612A-10-10;16 BSP 5/8 (Ш) S=30;BSP;16;5_8;0;штуцер;тяжелая;true;false;30
12611A-10-10;16 BSP 5/8 (Ш) S=30;BSP;16;5_8;0;штуцер;легкая;true;false;30
22612-16-12;20 BSP 1 (0)(Г);BSP;20;1;0;гайка;тяжелая;false;false;null
22611-16-12;20 BSP 1 (0)(Г);BSP;20;1;0;гайка;легкая;false;false;null
22642-16-12;20 BSP 1 (45)(Г);BSP;20;1;45;гайка;тяжелая;false;false;null
22641-16-12;20 BSP 1 (45)(Г);BSP;20;1;45;гайка;легкая;false;false;null
22691-16-12;20 BSP 1 (90)(Г);BSP;20;1;90;гайка;легкая;false;false;null
22692-16-12;20 BSP 1 (90)(Г);BSP;20;1;90;гайка;тяжелая;false;false;null
12612-16-12;20 BSP 1 (Ш) S=36;BSP;20;1;0;штуцер;тяжелая;false;false;36
12611-16-12;20 BSP 1 (Ш) S=36;BSP;20;1;0;штуцер;легкая;false;false;36
12611A-16-12;20 BSP 1 (Ш) S=41;BSP;20;1;0;штуцер;легкая;true;false;41
12612A-16-12;20 BSP 1 (Ш) S=41;BSP;20;1;0;штуцер;тяжелая;true;false;41
22612-08-12;20 BSP 1/2 (0)(Г);BSP;20;1_2;0;гайка;тяжелая;false;false;null
22611-08-12;20 BSP 1/2 (0)(Г);BSP;20;1_2;0;гайка;легкая;false;false;null
22642-08-12;20 BSP 1/2 (45)(Г);BSP;20;1_2;45;гайка;тяжелая;false;false;null
22641-08-12;20 BSP 1/2 (45)(Г);BSP;20;1_2;45;гайка;легкая;false;false;null
22692-08-12;20 BSP 1/2 (90)(Г);BSP;20;1_2;90;гайка;тяжелая;false;false;null
22691-08-12;20 BSP 1/2 (90)(Г);BSP;20;1_2;90;гайка;легкая;false;false;null
12612A-08-12 S27;20 BSP 1/2 (Ш) S=27;BSP;20;1_2;0;штуцер;тяжелая;true;false;27
12611A-08-12 S27;20 BSP 1/2 (Ш) S=27;BSP;20;1_2;0;штуцер;легкая;true;false;27
12612A-08-12 S30;20 BSP 1/2 (Ш) S=30;BSP;20;1_2;0;штуцер;тяжелая;true;false;30
12611A-08-12 S30;20 BSP 1/2 (Ш) S=30;BSP;20;1_2;0;штуцер;легкая;true;false;30
22611-12-12;20 BSP 3/4 (0)(Г);BSP;20;3_4;0;гайка;легкая;false;false;null
22612-12-12;20 BSP 3/4 (0)(Г);BSP;20;3_4;0;гайка;тяжелая;false;false;null
22613-12-12;20 BSP 3/4 (0)(Г) Interlock;BSP;20;3_4;0;гайка;interlock;false;false;null
22642-12-12;20 BSP 3/4 (45)(Г);BSP;20;3_4;45;гайка;тяжелая;false;false;null
22641-12-12;20 BSP 3/4 (45)(Г);BSP;20;3_4;45;гайка;легкая;false;false;null
22691-12-12;20 BSP 3/4 (90)(Г);BSP;20;3_4;90;гайка;легкая;false;false;null
22692-12-12;20 BSP 3/4 (90)(Г);BSP;20;3_4;90;гайка;тяжелая;false;false;null
22693-12-12;20 BSP 3/4 (90)(Г) Interlock;BSP;20;3_4;90;гайка;interlock;false;false;null
12612-12-12;20 BSP 3/4 (Ш) S=27;BSP;20;3_4;0;штуцер;тяжелая;false;false;27
12611-12-12;20 BSP 3/4 (Ш) S=27;BSP;20;3_4;0;штуцер;легкая;false;false;27
12612A-12-12;20 BSP 3/4 (Ш) S=32;BSP;20;3_4;0;штуцер;тяжелая;true;false;32
12611A-12-12;20 BSP 3/4 (Ш) S=32;BSP;20;3_4;0;штуцер;легкая;true;false;32
22611-10-12;20 BSP 5/8 (0)(Г);BSP;20;5_8;0;гайка;легкая;false;false;null
22612-10-12;20 BSP 5/8 (0)(Г);BSP;20;5_8;0;гайка;тяжелая;false;false;null
22641-10-12;20 BSP 5/8 (45)(Г);BSP;20;5_8;45;гайка;легкая;false;false;null
22642-10-12;20 BSP 5/8 (45)(Г);BSP;20;5_8;45;гайка;тяжелая;false;false;null
22691-10-12;20 BSP 5/8 (90)(Г);BSP;20;5_8;90;гайка;легкая;false;false;null
22692-10-12;20 BSP 5/8 (90)(Г);BSP;20;5_8;90;гайка;тяжелая;false;false;null
12611A-10-12;20 BSP 5/8 (Ш) S=30;BSP;20;5_8;0;штуцер;легкая;true;false;30
12612A-10-12;20 BSP 5/8 (Ш) S=30;BSP;20;5_8;0;штуцер;тяжелая;true;false;30
22611-16-16;25 BSP 1 (0)(Г);BSP;25;1;0;гайка;легкая;false;false;null
22612-16-16;25 BSP 1 (0)(Г);BSP;25;1;0;гайка;тяжелая;false;false;null
22613-16-16;25 BSP 1 (0)(Г) Interlock;BSP;25;1;0;гайка;interlock;false;false;null
22642-16-16;25 BSP 1 (45)(Г);BSP;25;1;45;гайка;тяжелая;false;false;null
22641-16-16;25 BSP 1 (45)(Г);BSP;25;1;45;гайка;легкая;false;false;null
22691-16-16;25 BSP 1 (90)(Г);BSP;25;1;90;гайка;легкая;false;false;null
22692-16-16;25 BSP 1 (90)(Г);BSP;25;1;90;гайка;тяжелая;false;false;null
22693-16-16;25 BSP 1 (90)(Г) Interlock;BSP;25;1;90;гайка;interlock;false;false;null
12611-16-16;25 BSP 1 (Ш) S=36;BSP;25;1;0;штуцер;легкая;false;false;36
12612-16-16;25 BSP 1 (Ш) S=36;BSP;25;1;0;штуцер;тяжелая;false;false;36
12612A-16-16;25 BSP 1 (Ш) S=41;BSP;25;1;0;штуцер;тяжелая;true;false;41
12611A-16-16;25 BSP 1 (Ш) S=41;BSP;25;1;0;штуцер;легкая;true;false;41
22611-20-16;25 BSP 1.1/4 (0)(Г);BSP;25;1_1_4;0;гайка;легкая;false;false;null
22612-20-16;25 BSP 1.1/4 (0)(Г);BSP;25;1_1_4;0;гайка;тяжелая;false;false;null
22642-20-16;25 BSP 1.1/4 (45)(Г);BSP;25;1_1_4;45;гайка;тяжелая;false;false;null
22641-20-16;25 BSP 1.1/4 (45)(Г);BSP;25;1_1_4;45;гайка;легкая;false;false;null
22691-20-16;25 BSP 1.1/4 (90)(Г);BSP;25;1_1_4;90;гайка;легкая;false;false;null
22692-20-16;25 BSP 1.1/4 (90)(Г);BSP;25;1_1_4;90;гайка;тяжелая;false;false;null
12612-20-16;25 BSP 1.1/4 (Ш) S=45;BSP;25;1_1_4;0;штуцер;тяжелая;false;false;45
12611-20-16;25 BSP 1.1/4 (Ш) S=45;BSP;25;1_1_4;0;штуцер;легкая;false;false;45
12612A-20-16;25 BSP 1.1/4 (Ш) S=50;BSP;25;1_1_4;0;штуцер;тяжелая;true;false;50
12611A-20-16;25 BSP 1.1/4 (Ш) S=50;BSP;25;1_1_4;0;штуцер;легкая;true;false;50
22612-12-16;25 BSP 3/4 (0)(Г);BSP;25;3_4;0;гайка;тяжелая;false;false;null
22611-12-16;25 BSP 3/4 (0)(Г);BSP;25;3_4;0;гайка;легкая;false;false;null
22642-12-16;25 BSP 3/4 (45)(Г);BSP;25;3_4;45;гайка;тяжелая;false;false;null
22641-12-16;25 BSP 3/4 (45)(Г);BSP;25;3_4;45;гайка;легкая;false;false;null
22692-12-16;25 BSP 3/4 (90)(Г);BSP;25;3_4;90;гайка;тяжелая;false;false;null
22691-12-16;25 BSP 3/4 (90)(Г);BSP;25;3_4;90;гайка;легкая;false;false;null
12611A-12-16;25 BSP 3/4 (Ш) S=32;BSP;25;3_4;0;штуцер;легкая;true;false;32
12612A-12-16;25 BSP 3/4 (Ш) S=32;BSP;25;3_4;0;штуцер;тяжелая;true;false;32
12612A-12-16;25 BSP 3/4 (Ш) S=36;BSP;25;3_4;0;штуцер;тяжелая;true;false;36
22611-16-20;32 BSP 1 (0)(Г);BSP;32;1;0;гайка;легкая;false;false;null
22691-16-20;32 BSP 1 (90)(Г);BSP;32;1;90;гайка;легкая;false;false;null
22692-16-20;32 BSP 1 (90)(Г);BSP;32;1;90;гайка;тяжелая;false;false;null
12611-16-20;32 BSP 1 (Ш);BSP;32;1;0;штуцер;легкая;false;false;null
22611-24-20;32 BSP 1.1/2 (0)(Г);BSP;32;1_1_2;0;гайка;легкая;false;false;null
22612-24-20;32 BSP 1.1/2 (0)(Г);BSP;32;1_1_2;0;гайка;тяжелая;false;false;null
22641-24-20;32 BSP 1.1/2 (45)(Г);BSP;32;1_1_2;45;гайка;легкая;false;false;null
22642-24-20;32 BSP 1.1/2 (45)(Г);BSP;32;1_1_2;45;гайка;тяжелая;false;false;null
22692-24-20;32 BSP 1.1/2 (90)(Г);BSP;32;1_1_2;90;гайка;тяжелая;false;false;null
22691-24-20;32 BSP 1.1/2 (90)(Г);BSP;32;1_1_2;90;гайка;легкая;false;false;null
12612-24-20;32 BSP 1.1/2 (Ш) S=50;BSP;32;1_1_2;0;штуцер;тяжелая;false;false;50
12611-24-20;32 BSP 1.1/2 (Ш) S=50;BSP;32;1_1_2;0;штуцер;легкая;false;false;50
12612A-24-20;32 BSP 1.1/2 (Ш) S=55;BSP;32;1_1_2;0;штуцер;тяжелая;true;false;55
12611A-24-20;32 BSP 1.1/2 (Ш) S=55;BSP;32;1_1_2;0;штуцер;легкая;true;false;55
22611-20-20;32 BSP 1.1/4 (0)(Г);BSP;32;1_1_4;0;гайка;легкая;false;false;null
22612-20-20;32 BSP 1.1/4 (0)(Г);BSP;32;1_1_4;0;гайка;тяжелая;false;false;null
22613-20-20;32 BSP 1.1/4 (0)(Г) Interlock;BSP;32;1_1_4;0;гайка;interlock;false;false;null
22612-20-20OR;32 BSP 1.1/4 (0)(Г) o-ring;BSP;32;1_1_4;0;гайка;тяжелая;false;true;null
22642-20-20;32 BSP 1.1/4 (45)(Г);BSP;32;1_1_4;45;гайка;тяжелая;false;false;null
22641-20-20;32 BSP 1.1/4 (45)(Г);BSP;32;1_1_4;45;гайка;легкая;false;false;null
22692-20-20;32 BSP 1.1/4 (90)(Г);BSP;32;1_1_4;90;гайка;тяжелая;false;false;null
22691-20-20;32 BSP 1.1/4 (90)(Г);BSP;32;1_1_4;90;гайка;легкая;false;false;null
22693-20-20;32 BSP 1.1/4 (90)(Г) Interlock;BSP;32;1_1_4;90;гайка;interlock;false;false;null
12612-20-20;32 BSP 1.1/4 (Ш) S=46;BSP;32;1_1_4;0;штуцер;тяжелая;false;false;46
12611-20-20;32 BSP 1.1/4 (Ш) S=46;BSP;32;1_1_4;0;штуцер;легкая;false;false;46
12611A-20-20;32 BSP 1.1/4 (Ш) S=50;BSP;32;1_1_4;0;штуцер;легкая;true;false;50
12612A-20-20;32 BSP 1.1/4 (Ш) S=50;BSP;32;1_1_4;0;штуцер;тяжелая;true;false;50
22612-24-24;38 BSP 1.1/2 (0)(Г);BSP;38;1_1_2;0;гайка;тяжелая;false;false;null
22611-24-24;38 BSP 1.1/2 (0)(Г);BSP;38;1_1_2;0;гайка;легкая;false;false;null
22613-24-24;38 BSP 1.1/2 (0)(Г) Interlock;BSP;38;1_1_2;0;гайка;interlock;false;false;null
22642-24-24;38 BSP 1.1/2 (45)(Г);BSP;38;1_1_2;45;гайка;тяжелая;false;false;null
22641-24-24;38 BSP 1.1/2 (45)(Г);BSP;38;1_1_2;45;гайка;легкая;false;false;null
22692-24-24;38 BSP 1.1/2 (90)(Г);BSP;38;1_1_2;90;гайка;тяжелая;false;false;null
22691-24-24;38 BSP 1.1/2 (90)(Г);BSP;38;1_1_2;90;гайка;легкая;false;false;null
12612-24-24;38 BSP 1.1/2 (Ш) S=50;BSP;38;1_1_2;0;штуцер;тяжелая;false;false;50
12611-24-24;38 BSP 1.1/2 (Ш) S=50;BSP;38;1_1_2;0;штуцер;легкая;false;false;50
12611A-24-24;38 BSP 1.1/2 (Ш) S=55;BSP;38;1_1_2;0;штуцер;легкая;true;false;55
12612A-24-24;38 BSP 1.1/2 (Ш) S=55;BSP;38;1_1_2;0;штуцер;тяжелая;true;false;55
22612-32-24;38 BSP 2 (0)(Г);BSP;38;2;0;гайка;тяжелая;false;false;null
