id,article,name,standard_1,armature_1,standard_2,armature_2,thread_1,thread_2,s_key,angle
783,1BF-12-08,"Адаптер BSP 3/4"" Ш - ORFS 13/16"" Ш S=32",1,2,9,2,24,32,32,1
784,1BF-12-08 A,"Адаптер BSP 3/4"" Ш - ORFS 13/16"" Ш S=32",1,2,9,2,24,32,32,1
785,1BF-06,"Адаптер BSP 3/8"" Ш - ORFS 11/16"" Ш S=22",1,2,9,2,25,31,22,1
786,1BF-06 A,"Адаптер BSP 3/8"" Ш - ORFS 11/16"" Ш S=22",1,2,9,2,25,31,22,1
787,1BF-06-08,"Адаптер BSP 3/8"" Ш - ORFS 13/16"" Ш S=22",1,2,9,2,25,32,22,1
788,1BF-06-08 A,"Адаптер BSP 3/8"" Ш - ORFS 13/16"" Ш S=22",1,2,9,2,25,32,22,1
789,1BF-06-04,"Адаптер BSP 3/8"" Ш - ORFS 9/16"" Ш S=22",1,2,9,2,25,36,22,1
790,1BF-06-04 A,"Адаптер BSP 3/8"" Ш - ORFS 9/16"" Ш S=22",1,2,9,2,25,36,22,1
791,1T-04SP,"Адаптер BSPT Ш-к/Ш-к 1/4""-1/4""",2,3,2,3,23,23,,1
792,1T-04SP A,"Адаптер BSPT Ш-к/Ш-к 1/4""-1/4""",2,3,2,3,23,23,,1
793,1T-12-16SP A,"Адаптер BSPT Ш-к/Ш-к 3/4""-1""",2,3,2,3,24,24,,1
794,1T-06SP,"Адаптер BSPT Ш-к/Ш-к 3/8""-3/8""",2,3,2,3,25,25,,1
795,1T-06SP A,"Адаптер BSPT Ш-к/Ш-к 3/8""-3/8""",2,3,2,3,25,25,,1
796,1TC-08SP-22,"Адаптер BSPT 1/2"" Ш-к - DKOL 22х1,5 Ш",2,3,4,2,22,9,,1
797,1TC-08SP-22 A,"Адаптер BSPT 1/2"" Ш-к - DKOL 22х1,5 Ш S=24",2,3,4,2,22,9,24,1
798,1TC-04SP-12D/1.25,"Адаптер BSPT 1/4"" Ш-к - DKOL 12x1.25 Ш",2,3,4,2,23,120,,1
799,1TC-04SP-12D/1.25 A,"Адаптер BSPT 1/4"" Ш-к - DKOL 12x1.25 Ш S=14",2,3,4,2,23,102,14,1
800,1TC-04SP-14D,"Адаптер BSPT 1/4"" Ш-к - DKOL 14x1.5 Ш",2,3,4,2,23,86,,1
801,1TC-04SP-14D A,"Адаптер BSPT 1/4"" Ш-к - DKOL 14x1.5 Ш S=14",2,3,4,2,23,86,14,1
802,1TC-04SP-14D EU,"Адаптер BSPT 1/4"" Ш-к - DKOL 14x1.5 Ш S=14 Италия",2,3,4,2,23,86,14,1
803,1TC-04SP-14D S17 EU,"Адаптер BSPT 1/4"" Ш-к - DKOL 14x1.5 Ш S=17 Италия",2,3,4,2,23,86,17,1
804,1TC-04SP-16D,"Адаптер BSPT 1/4"" Ш-к - DKOL 16x1.5 Ш",2,3,4,2,23,110,,1
805,1TC-04SP-16D A,"Адаптер BSPT 1/4"" Ш-к - DKOL 16x1.5 Ш S=19",2,3,4,2,23,110,19,1
806,1CT-02SP-12D,"Адаптер BSPT 1/8"" Ш-к - DKOL 12x1.5 Ш",2,3,4,2,28,93,,1
807,1CT-02SP-12D A,"Адаптер BSPT 1/8"" Ш-к - DKOL 12x1.5 Ш S=12",2,3,4,2,28,93,12,1
808,1TD-04SP-18,"Адаптер BSPT 1/4"" Ш-к - DKOS 18х1,5 Ш",2,3,5,2,23,7,,1
809,1TD-04SP-18 A,"Адаптер BSPT 1/4"" Ш-к - DKOS 18х1,5 Ш S=19",2,3,5,2,23,7,19,1
810,1TM-04SP-18,"Адаптер BSPT 1/4"" Ш-к - DKM 18х1,5 Ш S=24",2,3,11,2,23,7,24,1
811,1TM-04SP-18 A,"Адаптер BSPT 1/4"" Ш-к - DKM 18х1,5 Ш S=24",2,3,11,2,23,7,24,1
812,1TM-06SP-20,"Адаптер BSPT 3/8"" Ш-к - DKM 20х1,5 Ш S=27",2,3,11,2,25,8,27,1
813,1TM-06SP-20 A,"Адаптер BSPT 3/8"" Ш-к - DKM 20х1,5 Ш S=27",2,3,11,2,25,8,27,1
814,1TM-06SP-22,"Адаптер BSPT 3/8"" Ш-к - DKM 22х1,5 Ш S=27",2,3,11,2,25,9,27,1
815,1TM-06SP-22 A,"Адаптер BSPT 3/8"" Ш-к - DKM 22х1,5 Ш S=27",2,3,11,2,25,9,27,1
816,1Q-12D/1.25,"Адаптер DKI Ш/Ш 12x1,25 - 12x1,25 S=17",6,2,6,2,102,102,17,1
817,1Q-12D/1.25 A,"Адаптер DKI Ш/Ш 12x1,25 - 12x1,25 S=17",6,2,6,2,102,102,17,1
818,1Q-14,Адаптер DKI Ш/Ш 14x1 - 14x1 S=19,6,2,6,2,14,99,19,1
819,1Q-14 A,Адаптер DKI Ш/Ш 14x1 - 14x1 S=19,6,2,6,2,14,99,19,1
820,1Q-14D,"Адаптер DKI Ш/Ш 14x1,5 - 14x1,5 S=19",6,2,6,2,86,4,19,1
821,1Q-14D A,"Адаптер DKI Ш/Ш 14x1,5 - 14x1,5 S=19",6,2,6,2,86,4,19,1
822,1Q-24,"Адаптер DKI Ш/Ш 24x1,5 - 24x1,5 S=30",6,2,6,2,112,10,30,1
823,1Q-24 A,"Адаптер DKI Ш/Ш 24x1,5 - 24x1,5 S=30",6,2,6,2,112,10,30,1
824,3M-20,"Адаптер DKM Г/Г 20х1,5 - 20х1,5",11,1,11,1,8,8,,1
825,3M-20 A,"Адаптер DKM Г/Г 20х1,5 - 20х1,5 S=27",11,1,11,1,8,8,27,1
826,3M-27D,"Адаптер DKM Г/Г 27х1,5 - 27х1,5",11,1,11,1,12,12,,1
827,3M-27D A,"Адаптер DKM Г/Г 27х1,5 - 27х1,5 S=32",11,1,11,1,12,12,32,1
828,2M-16D,"Адаптер DKM Ш/Г 16х1,5 - 16х1,5 S=22",11,2,11,1,6,6,22,1
829,2M-16D A,"Адаптер DKM Ш/Г 16х1,5 - 16х1,5 S=22",11,2,11,1,6,6,22,1
830,2M-18,"Адаптер DKM Ш/Г 18х1,5 - 18х1,5 S=24",11,2,11,1,7,7,24,1
831,2M-18 A,"Адаптер DKM Ш/Г 18х1,5 - 18х1,5 S=24",11,2,11,1,7,7,24,1
832,2M-20-18 A,"Адаптер DKM Ш/Г 20х1,5 - 18х1,5 S=27",11,2,11,1,8,7,27,1
833,2M-20-18,"Адаптер DKM Ш/Г 20х1,5 - 18х1,5 S=27",11,2,11,1,8,7,27,1
834,2M-20,"Адаптер DKM Ш/Г 20х1,5 - 20х1,5 S=27",11,2,11,1,8,8,27,1
835,2M-20 A,"Адаптер DKM Ш/Г 20х1,5 - 20х1,5 S=27",11,2,11,1,8,8,27,1
836,2M-22,"Адаптер DKM Ш/Г 22х1,5 - 22х1,5 S=27",11,2,11,1,9,9,27,1
837,2M-22 A,"Адаптер DKM Ш/Г 22х1,5 - 22х1,5 S=27",11,2,11,1,9,9,27,1
838,2M-27D,"Адаптер DKM Ш/Г 27х1,5 - 27х1,5 S=32",11,2,11,1,12,12,32,1
839,2M-27D A,"Адаптер DKM Ш/Г 27х1,5 - 27х1,5 S=32",11,2,11,1,12,12,32,1
840,2M-30D,"Адаптер DKM Ш/Г 30х1,5 - 30х1,5 S=36",11,2,11,1,13,13,36,1
841,2M-30D A,"Адаптер DKM Ш/Г 30х1,5 - 30х1,5 S=36",11,2,11,1,13,13,36,1
842,2M-33,Адаптер DKM Ш/Г 33х2 - 33х2 S=39,11,2,11,1,16,16,39,1
843,2M-33 A,Адаптер DKM Ш/Г 33х2 - 33х2 S=41,11,2,11,1,16,16,41,1
844,2M-42,Адаптер DKM Ш/Г 42х2 - 42х2 S=50,11,2,11,1,81,81,50,1
845,2M-42 A,Адаптер DKM Ш/Г 42х2 - 42х2 S=50,11,2,11,1,81,81,50,1
846,1M-10,Адаптер DKM Ш/Ш 10х1 - 10х1 S=14,11,2,11,2,1,1,14,1
847,1M-10 A,Адаптер DKM Ш/Ш 10х1 - 10х1 S=14,11,2,11,2,1,1,14,1
848,1M-10-12D,Адаптер DKM Ш/Ш 10х1 - 12х1.5 S=17,11,2,11,2,1,3,17,1
849,1M-10-12D A,"Адаптер DKM Ш/Ш 10х1 - 12х1,5 S=17",11,2,11,2,1,3,17,1
850,1M-10D-12D,"Адаптер DKM Ш/Ш 10х1,5 - 12х1,5 S=17",11,2,11,2,2,73,17,1
851,1M-10D-12D A,"Адаптер DKM Ш/Ш 10х1,5 - 12х1,5 S=17",11,2,11,2,2,73,17,1
852,1M-10D-14D,"Адаптер DKM Ш/Ш 10х1,5 - 14х1,5 S=19",11,2,11,2,2,99,19,1
853,1M-10D-14D A,"Адаптер DKM Ш/Ш 10х1,5 - 14х1,5 S=19",11,2,11,2,2,99,19,1
854,1M-12,Адаптер DKM Ш/Ш 12х1 - 12х1 S=17,11,2,11,2,73,73,17,1
855,1M-12 A,Адаптер DKM Ш/Ш 12х1 - 12х1 S=17,11,2,11,2,73,73,17,1
856,1M-12D/1.25,"Адаптер DKM Ш/Ш 12х1,25 - 12х1,25 S=17",11,2,11,2,102,102,17,1
857,1M-12D/1.25 A,"Адаптер DKM Ш/Ш 12х1,25 - 12х1,25 S=17",11,2,11,2,102,102,17,1
858,1M-12D,"Адаптер DKM Ш/Ш 12х1,5 - 12х1,5 S=17",11,2,11,2,3,73,17,1
859,1M-12D A,"Адаптер DKM Ш/Ш 12х1,5 - 12х1,5 S=17",11,2,11,2,3,73,17,1
860,1M-12D-14D,"Адаптер DKM Ш/Ш 12х1,5 - 14х1,5 S=19",11,2,11,2,3,99,19,1
861,1M-12D-14D A,"Адаптер DKM Ш/Ш 12х1,5 - 14х1,5 S=19",11,2,11,2,3,99,19,1
862,1M-12D-16D,"Адаптер DKM Ш/Ш 12х1,5 - 16х1,5 S=22",11,2,11,2,3,5,22,1
863,1M-12D-16D A,"Адаптер DKM Ш/Ш 12х1,5 - 16х1,5 S=22",11,2,11,2,3,5,22,1
864,1M-14D,"Адаптер DKM Ш/Ш 14х1,5 - 14х1,5 S=19",11,2,11,2,4,99,19,1
865,1M-14D A,"Адаптер DKM Ш/Ш 14х1,5 - 14х1,5 S=19",11,2,11,2,4,99,19,1
866,1M-14D-16D,"Адаптер DKM Ш/Ш 14х1,5 - 16х1,5 S=22",11,2,11,2,4,5,22,1
867,1M-14D-16D A,"Адаптер DKM Ш/Ш 14х1,5 - 16х1,5 S=22",11,2,11,2,4,5,22,1
868,1M-14D-18,"Адаптер DKM Ш/Ш 14х1,5 - 18х1,5 S=24",11,2,11,2,4,126,24,1
869,1M-14D-18 A,"Адаптер DKM Ш/Ш 14х1,5 - 18х1,5 S=24",11,2,11,2,4,126,24,1
870,1M-14D-20 s24,"Адаптер DKM Ш/Ш 14х1,5 - 20х1,5 S=24",11,2,11,2,4,129,24,1
871,1M-14D-20 A,"Адаптер DKM Ш/Ш 14х1,5 - 20х1,5 S=27",11,2,11,2,4,129,27,1
872,1M-14D-20,"Адаптер DKM Ш/Ш 14х1,5 - 20х1,5 S=27",11,2,11,2,4,129,27,1
873,1M-16D,"Адаптер DKM Ш/Ш 16х1,5 - 16х1,5 S=22",11,2,11,2,6,5,22,1
874,1M-16D A,"Адаптер DKM Ш/Ш 16х1,5 - 16х1,5 S=22",11,2,11,2,6,5,22,1
875,1M-16D-18,"Адаптер DKM Ш/Ш 16х1,5 - 18х1,5 S=24",11,2,11,2,6,126,24,1
876,1M-16D-18 A,"Адаптер DKM Ш/Ш 16х1,5 - 18х1,5 S=24",11,2,11,2,6,126,24,1
877,1M-16D-20,"Адаптер DKM Ш/Ш 16х1,5 - 20х1,5 S=27",11,2,11,2,6,129,27,1
878,1M-16D-20 A,"Адаптер DKM Ш/Ш 16х1,5 - 20х1,5 S=27",11,2,11,2,6,129,27,1
879,1M-16D-22,"Адаптер DKM Ш/Ш 16х1,5 - 22х1,5 S=27",11,2,11,2,6,9,27,1
880,1M-16D-22 A,"Адаптер DKM Ш/Ш 16х1,5 - 22х1,5 S=27",11,2,11,2,6,9,27,1
881,1M-16D-24,"Адаптер DKM Ш/Ш 16х1,5 - 24х1,5 S=30",11,2,11,2,6,124,30,1
882,1M-16D-24 A,"Адаптер DKM Ш/Ш 16х1,5 - 24х1,5 S=30",11,2,11,2,6,124,30,1
883,1M-16D-27D,"Адаптер DKM Ш/Ш 16х1,5 - 27х1,5 S=32",11,2,11,2,6,123,32,1
884,1M-16D-27D A,"Адаптер DKM Ш/Ш 16х1,5 - 27х1,5 S=32",11,2,11,2,6,123,32,1
885,1M-18,"Адаптер DKM Ш/Ш 18х1,5 - 18х1,5 S=24",11,2,11,2,7,126,24,1
886,1M-18 A,"Адаптер DKM Ш/Ш 18х1,5 - 18х1,5 S=24",11,2,11,2,7,126,24,1
887,1M-18-20,"Адаптер DKM Ш/Ш 18х1,5 - 20х1,5 S=27",11,2,11,2,7,129,27,1
888,1M-18-20 A,"Адаптер DKM Ш/Ш 18х1,5 - 20х1,5 S=27",11,2,11,2,7,129,27,1
889,1M-18-22,"Адаптер DKM Ш/Ш 18х1,5 - 22х1,5 S=27",11,2,11,2,7,9,27,1
890,1M-18-22 A,"Адаптер DKM Ш/Ш 18х1,5 - 22х1,5 S=27",11,2,11,2,7,9,27,1
891,1M-18-24,"Адаптер DKM Ш/Ш 18х1,5 - 24х1,5 S=30",11,2,11,2,7,124,30,1
892,1M-18-24 A,"Адаптер DKM Ш/Ш 18х1,5 - 24х1,5 S=30",11,2,11,2,7,124,30,1
893,1M-18-26D,"Адаптер DKM Ш/Ш 18х1,5 - 26х1,5 S=32",11,2,11,2,7,122,32,1
894,1M-18-26D A,"Адаптер DKM Ш/Ш 18х1,5 - 26х1,5 S=32",11,2,11,2,7,122,32,1
895,1M-20,"Адаптер DKM Ш/Ш 20х1,5 - 20х1,5 S=27",11,2,11,2,8,129,27,1
896,1M-20 A,"Адаптер DKM Ш/Ш 20х1,5 - 20х1,5 S=27",11,2,11,2,8,129,27,1
897,1M-20-22,"Адаптер DKM Ш/Ш 20х1,5 - 22х1,5 S=27",11,2,11,2,8,9,27,1
898,1M-20-22 A,"Адаптер DKM Ш/Ш 20х1,5 - 22х1,5 S=27",11,2,11,2,8,9,27,1
899,1M-20-24,"Адаптер DKM Ш/Ш 20х1,5 - 24х1,5 S=30",11,2,11,2,8,124,30,1
900,1M-20-24 A,"Адаптер DKM Ш/Ш 20х1,5 - 24х1,5 S=30",11,2,11,2,8,124,30,1
901,1M-20-27D,"Адаптер DKM Ш/Ш 20х1,5 - 27х1,5 S=32",11,2,11,2,8,123,32,1
902,1M-20-27D A,"Адаптер DKM Ш/Ш 20х1,5 - 27х1,5 S=32",11,2,11,2,8,123,32,1
903,1M-20-30D,"Адаптер DKM Ш/Ш 20х1,5 - 30х1,5 S=36",11,2,11,2,8,13,36,1
904,1M-20-30D A,"Адаптер DKM Ш/Ш 20х1,5 - 30х1,5 S=36",11,2,11,2,8,13,36,1
905,1M-20-30,"Адаптер DKM Ш/Ш 20х1,5 - 30х2 S=36",11,2,11,2,8,14,36,1
906,1M-20-30 A,"Адаптер DKM Ш/Ш 20х1,5 - 30х2 S=36",11,2,11,2,8,14,36,1
907,1M-22,"Адаптер DKM Ш/Ш 22х1,5 - 22х1,5 S=27",11,2,11,2,9,9,27,1
908,1M-22 A,"Адаптер DKM Ш/Ш 22х1,5 - 22х1,5 S=27",11,2,11,2,9,9,27,1
909,1M-22-24 S27,"Адаптер DKM Ш/Ш 22х1,5 - 24х1,5 S=27",11,2,11,2,9,124,27,1
910,1M-22-24,"Адаптер DKM Ш/Ш 22х1,5 - 24х1,5 S=30",11,2,11,2,9,124,30,1
911,1M-22-24 A,"Адаптер DKM Ш/Ш 22х1,5 - 24х1,5 S=30",11,2,11,2,9,124,30,1
912,1M-22-26D,"Адаптер DKM Ш/Ш 22х1,5 - 26х1,5 S=32",11,2,11,2,9,122,32,1
913,1M-22-26D A,"Адаптер DKM Ш/Ш 22х1,5 - 26х1,5 S=32",11,2,11,2,9,122,32,1
914,1M-22-27D,"Адаптер DKM Ш/Ш 22х1,5 - 27х1,5 S=32",11,2,11,2,9,123,32,1
915,1M-22-27D A,"Адаптер DKM Ш/Ш 22х1,5 - 27х1,5 S=32",11,2,11,2,9,123,32,1
916,1M-22-27,"Адаптер DKM Ш/Ш 22х1,5 - 27х2 S=32",11,2,11,2,9,119,32,1
917,1M-22-27 A,"Адаптер DKM Ш/Ш 22х1,5 - 27х2 S=32",11,2,11,2,9,119,32,1
918,1M-22-30D,"Адаптер DKM Ш/Ш 22х1,5 - 30х1,5 S=36",11,2,11,2,9,13,36,1
919,1M-22-30D A,"Адаптер DKM Ш/Ш 22х1,5 - 30х1,5 S=36",11,2,11,2,9,13,36,1
920,1M-22-30,"Адаптер DKM Ш/Ш 22х1,5 - 30х2 S=36",11,2,11,2,9,14,36,1
921,1M-22-30 A,"Адаптер DKM Ш/Ш 22х1,5 - 30х2 S=36",11,2,11,2,9,14,36,1
922,1M-22-33D,"Адаптер DKM Ш/Ш 22х1,5 - 33х1,5 S=39",11,2,11,2,9,121,39,1
923,1M-22-33D A,"Адаптер DKM Ш/Ш 22х1,5 - 33х1,5 S=39",11,2,11,2,9,121,39,1
924,1M-22-33,"Адаптер DKM Ш/Ш 22х1,5 - 33х2 S=39",11,2,11,2,9,16,39,1
925,1M-22-33 A,"Адаптер DKM Ш/Ш 22х1,5 - 33х2 S=39",11,2,11,2,9,16,39,1
926,1M-22-42,"Адаптер DKM Ш/Ш 22х1,5 - 42х2 S=50",11,2,11,2,9,81,50,1
927,1M-22-42 A,"Адаптер DKM Ш/Ш 22х1,5 - 42х2 S=50",11,2,11,2,9,81,50,1
928,1M-24,"Адаптер DKM Ш/Ш 24х1,5 - 24х1,5 S=30",11,2,11,2,10,124,30,1
929,1M-24 A,"Адаптер DKM Ш/Ш 24х1,5 - 24х1,5 S=30",11,2,11,2,10,124,30,1
930,1M-24-26D,"Адаптер DKM Ш/Ш 24х1,5 - 26х1,5 S=32",11,2,11,2,10,122,32,1
931,1M-24-26D A,"Адаптер DKM Ш/Ш 24х1,5 - 26х1,5 S=32",11,2,11,2,10,122,32,1
932,1M-24-27D,"Адаптер DKM Ш/Ш 24х1,5 - 27х1,5 S=32",11,2,11,2,10,123,32,1
933,1M-24-27D A,"Адаптер DKM Ш/Ш 24х1,5 - 27х1,5 S=32",11,2,11,2,10,123,32,1
934,1M-24-30D,"Адаптер DKM Ш/Ш 24х1,5 - 30х1,5 S=36",11,2,11,2,10,13,36,1
935,1M-24-30D A,"Адаптер DKM Ш/Ш 24х1,5 - 30х1,5 S=36",11,2,11,2,10,13,36,1
936,1M-24-30,"Адаптер DKM Ш/Ш 24х1,5 - 30х2 S=36",11,2,11,2,10,14,36,1
937,1M-24-30 A,"Адаптер DKM Ш/Ш 24х1,5 - 30х2 S=36",11,2,11,2,10,14,36,1
938,1M-24-33D,"Адаптер DKM Ш/Ш 24х1,5 - 33х1,5 S=39",11,2,11,2,10,121,39,1
939,1M-24-33D A,"Адаптер DKM Ш/Ш 24х1,5 - 33х1,5 S=39",11,2,11,2,10,121,39,1
940,1M-24-33,"Адаптер DKM Ш/Ш 24х1,5 - 33х2 S=39",11,2,11,2,10,16,39,1
941,1M-24-33 A,"Адаптер DKM Ш/Ш 24х1,5 - 33х2 S=39",11,2,11,2,10,16,39,1
942,1M-26D,"Адаптер DKM Ш/Ш 26х1,5 - 26х1,5 S=32",11,2,11,2,11,122,32,1
943,1M-26D A,"Адаптер DKM Ш/Ш 26х1,5 - 26х1,5 S=32",11,2,11,2,11,122,32,1
944,1M-26D-30,"Адаптер DKM Ш/Ш 26х1,5 - 30х2 S=36",11,2,11,2,11,14,36,1
945,1M-26D-30 A,"Адаптер DKM Ш/Ш 26х1,5 - 30х2 S=36",11,2,11,2,11,14,36,1
946,1M-26D-33,"Адаптер DKM Ш/Ш 26х1,5 - 33х2 S=39",11,2,11,2,11,16,39,1
947,1M-26D-33 A,"Адаптер DKM Ш/Ш 26х1,5 - 33х2 S=39",11,2,11,2,11,16,39,1
948,1M-26D-36,"Адаптер DKM Ш/Ш 26х1,5 - 36х2 S=41",11,2,11,2,11,82,41,1
949,1M-26D-36 A,"Адаптер DKM Ш/Ш 26х1,5 - 36х2 S=41",11,2,11,2,11,82,41,1
950,1M-27D,"Адаптер DKM Ш/Ш 27х1,5 - 27х1,5 S=32",11,2,11,2,12,123,32,1
951,1M-27D A,"Адаптер DKM Ш/Ш 27х1,5 - 27х1,5 S=32",11,2,11,2,12,123,32,1
952,1M-27D-30D,"Адаптер DKM Ш/Ш 27х1,5 - 30х1,5 S=36",11,2,11,2,12,13,36,1
953,1M-27D-30D A,"Адаптер DKM Ш/Ш 27х1,5 - 30х1,5 S=36",11,2,11,2,12,13,36,1
954,1M-27D-30,"Адаптер DKM Ш/Ш 27х1,5 - 30х2 S=36",11,2,11,2,12,14,36,1
955,1M-27D-30 A,"Адаптер DKM Ш/Ш 27х1,5 - 30х2 S=36",11,2,11,2,12,14,36,1
956,1M-27D-33D,"Адаптер DKM Ш/Ш 27х1,5 - 33х1,5 S=39",11,2,11,2,12,121,39,1
957,1M-27D-33D A,"Адаптер DKM Ш/Ш 27х1,5 - 33х1,5 S=41",11,2,11,2,12,121,41,1
958,1M-27D-33,"Адаптер DKM Ш/Ш 27х1,5 - 33х2 S=39",11,2,11,2,12,16,39,1
959,1M-27D-33 A,"Адаптер DKM Ш/Ш 27х1,5 - 33х2 S=39",11,2,11,2,12,16,39,1
960,1M-27,Адаптер DKM Ш/Ш 27х2 - 27х2 S=32,11,2,11,2,119,119,32,1
961,1M-27 A,Адаптер DKM Ш/Ш 27х2 - 27х2 S=32,11,2,11,2,119,119,32,1
962,1M-27-30,Адаптер DKM Ш/Ш 27х2 - 30х2 S=36,11,2,11,2,119,14,36,1
963,1M-27-30 A,Адаптер DKM Ш/Ш 27х2 - 30х2 S=36,11,2,11,2,119,14,36,1
964,1M-30D,"Адаптер DKM Ш/Ш 30х1,5 - 30х1,5 S=36",11,2,11,2,13,13,36,1
965,1M-30D A,"Адаптер DKM Ш/Ш 30х1,5 - 30х1,5 S=36",11,2,11,2,13,13,36,1
966,1M-30D-30,"Адаптер DKM Ш/Ш 30х1,5 - 30х2 S=36",11,2,11,2,13,14,36,1
967,1M-30D-30 A,"Адаптер DKM Ш/Ш 30х1,5 - 30х2 S=36",11,2,11,2,13,14,36,1
968,1M-30D-33,"Адаптер DKM Ш/Ш 30х1,5 - 33х2 S=39",11,2,11,2,13,16,39,1
969,1M-30D-33 A,"Адаптер DKM Ш/Ш 30х1,5 - 33х2 S=39",11,2,11,2,13,16,39,1
970,1M-30D-36D,"Адаптер DKM Ш/Ш 30х1,5 - 36х1,5 S=41",11,2,11,2,13,17,41,1
971,1M-30D-36D A,"Адаптер DKM Ш/Ш 30х1,5 - 36х1,5 S=41",11,2,11,2,13,17,41,1
972,1M-30D-36,"Адаптер DKM Ш/Ш 30х1,5 - 36х2 S=41",11,2,11,2,13,82,41,1
973,1M-30D-36 A,"Адаптер DKM Ш/Ш 30х1,5 - 36х2 S=41",11,2,11,2,13,82,41,1
974,1M-30,Адаптер DKM Ш/Ш 30х2 - 30х2 S=36,11,2,11,2,14,14,36,1
975,1M-30 A,Адаптер DKM Ш/Ш 30х2 - 30х2 S=36,11,2,11,2,14,14,36,1
976,1M-30-33D A,"Адаптер DKM Ш/Ш 30х2 - 33х1,5 S=39",11,2,11,2,14,15,39,1
977,1M-30-33D,"Адаптер DKM Ш/Ш 30х2 - 33х1,5 S=39",11,2,11,2,14,15,39,1
978,1M-30-33,Адаптер DKM Ш/Ш 30х2 - 33х2 S=39,11,2,11,2,14,16,39,1
979,1M-30-33 A,Адаптер DKM Ш/Ш 30х2 - 33х2 S=39,11,2,11,2,14,16,39,1
980,1M-30-36,Адаптер DKM Ш/Ш 30х2 - 36х2 S=41,11,2,11,2,14,82,41,1
981,1M-30-36 A,Адаптер DKM Ш/Ш 30х2 - 36х2 S=41,11,2,11,2,14,82,41,1
982,1M-33D,"Адаптер DKM Ш/Ш 33х1,5 - 33х1,5 S=39",11,2,11,2,15,121,39,1
983,1M-33D A,"Адаптер DKM Ш/Ш 33х1,5 - 33х1,5 S=41",11,2,11,2,15,121,41,1
984,1M-33,Адаптер DKM Ш/Ш 33х2 - 33х2 S=39,11,2,11,2,16,16,39,1
985,1M-33 A,Адаптер DKM Ш/Ш 33х2 - 33х2 S=41,11,2,11,2,16,16,41,1
986,1M-33-36D,"Адаптер DKM Ш/Ш 33х2 - 36х1,5 S=41",11,2,11,2,16,17,41,1
987,1M-33-36D A,"Адаптер DKM Ш/Ш 33х2 - 36х1,5 S=41",11,2,11,2,16,17,41,1
988,1M-33-36,Адаптер DKM Ш/Ш 33х2 - 36х2 S=41,11,2,11,2,16,82,41,1
989,1M-33-36 A,Адаптер DKM Ш/Ш 33х2 - 36х2 S=41,11,2,11,2,16,82,41,1
990,1M-33-42,Адаптер DKM Ш/Ш 33х2 - 42х2 S=50,11,2,11,2,16,81,50,1
991,1M-33-42 A,Адаптер DKM Ш/Ш 33х2 - 42х2 S=50,11,2,11,2,16,81,50,1
992,1M-36D,"Адаптер DKM Ш/Ш 36х1,5 - 36х1,5 S=41",11,2,11,2,17,17,41,1
993,1M-36D A,"Адаптер DKM Ш/Ш 36х1,5 - 36х1,5 S=41",11,2,11,2,17,17,41,1
994,1M-36,Адаптер DKM Ш/Ш 36х2 - 36х2 S=41,11,2,11,2,82,82,41,1
995,1M-36 A,Адаптер DKM Ш/Ш 36х2 - 36х2 S=41,11,2,11,2,82,82,41,1
996,1M-36-42,Адаптер DKM Ш/Ш 36х2 - 42х2 S=50,11,2,11,2,82,81,50,1
997,1M-36-42 A,Адаптер DKM Ш/Ш 36х2 - 42х2 S=50,11,2,11,2,82,81,50,1
998,1M-39,Адаптер DKM Ш/Ш 39х2 - 39х2 S=46,11,2,11,2,91,91,46,1
999,1M-39 A,Адаптер DKM Ш/Ш 39х2 - 39х2 S=46,11,2,11,2,91,91,46,1
1000,1M-42,Адаптер DKM Ш/Ш 42х2 - 42х2 S=50,11,2,11,2,81,81,50,1
1001,1M-42 A,Адаптер DKM Ш/Ш 42х2 - 42х2 S=50,11,2,11,2,81,81,50,1
1002,1M-52,Адаптер DKM Ш/Ш 52х2 - 52х2 S=60,11,2,11,2,83,83,60,1
1003,1M-52 A,Адаптер DKM Ш/Ш 52х2 - 52х2 S=60,11,2,11,2,83,83,60,1
1004,2MC-18-16D,Адаптер DKM 18x1.5 Ш - DKOL 16x1.5 Г S=24,11,2,4,1,7,6,24,1
1005,2MC-18-16D A,Адаптер DKM 18x1.5 Ш - DKOL 16x1.5 Г S=24,11,2,4,1,7,6,24,1
1006,2MC-22-16D,Адаптер DKM 22x1.5 Ш - DKOL 16x1.5 Г S=27,11,2,4,1,9,6,27,1
1007,2MC-22-16D A,Адаптер DKM 22x1.5 Ш - DKOL 16x1.5 Г S=27,11,2,4,1,9,6,27,1
1008,2MC-22-26D,Адаптер DKM 22x1.5 Ш - DKOL 26x1.5 Г S=27,11,2,4,1,9,11,27,1
1009,2MC-22-26D A,Адаптер DKM 22x1.5 Ш - DKOL 26x1.5 Г S=27,11,2,4,1,9,11,27,1
1010,1MC-14D-18,Адаптер DKМ 14х1.5 Ш - DKOL 18х1.5 Ш S=19,11,2,4,2,4,7,19,1
1011,1MC-14D-18 A,Адаптер DKМ 14х1.5 Ш - DKOL 18х1.5 Ш S=19,11,2,4,2,4,7,19,1
1012,1MC-18-16D,Адаптер DKМ 18х1.5 Ш - DKOL 16х1.5 Ш S=24,11,2,4,2,7,6,24,1
