id,article,name,standard,dy,thread,angle,armature,seria,usit,o_ring,s_key
1,22611-08-04,"06 BSP 1/2"" (0)(Г)",1,6,90,1,1,1,false,false,
2,22611-08-04T,"06 BSP 1/2"" (0)(Г)",1,6,90,1,1,1,false,false,
3,22611-08-04W,"06 BSP 1/2"" (0)(Г)",1,6,90,1,1,1,false,false,
4,22641-08-04,"06 BSP 1/2"" (45)(Г)",1,6,90,2,1,1,false,false,
5,22641-08-04T,"06 BSP 1/2"" (45)(Г)",1,6,90,2,1,1,false,false,
6,22641-08-04W,"06 BSP 1/2"" (45)(Г)",1,6,90,2,1,1,false,false,
7,22691-08-04,"06 BSP 1/2"" (90)(Г)",1,6,90,3,1,1,false,false,
8,22691-08-04T,"06 BSP 1/2"" (90)(Г)",1,6,90,3,1,1,false,false,
9,22691-08-04W,"06 BSP 1/2"" (90)(Г)",1,6,90,3,1,1,false,false,
10,12611-08-04,"06 BSP 1/2"" (Ш)",1,6,90,1,2,1,false,false,
11,12611A-08-04,"06 BSP 1/2"" (Ш) S=27",1,6,90,1,2,1,true,false,27
12,22612-04-04,"06 BSP 1/4"" (0)(Г)",1,6,91,1,1,2,false,false,
13,22611-04-04T,"06 BSP 1/4"" (0)(Г)",1,6,91,1,1,1,false,false,
14,22611-04-04W,"06 BSP 1/4"" (0)(Г)",1,6,91,1,1,1,false,false,
15,22611-04-04,"06 BSP 1/4"" (0)(Г)",1,6,91,1,1,1,false,false,
16,22611-04-04OR,"06 BSP 1/4"" (0)(Г) o-ring",1,6,91,1,1,1,false,true,
17,22641-04-04T,"06 BSP 1/4"" (45)(Г)",1,6,91,2,1,1,false,false,
18,22641-04-04W,"06 BSP 1/4"" (45)(Г)",1,6,91,2,1,1,false,false,
19,22641-04-04,"06 BSP 1/4"" (45)(Г)",1,6,91,2,1,1,false,false,
20,22691-04-04T,"06 BSP 1/4"" (90)(Г)",1,6,91,3,1,1,false,false,
21,22692-04-04,"06 BSP 1/4"" (90)(Г)",1,6,91,3,1,2,false,false,
22,22691-04-04W,"06 BSP 1/4"" (90)(Г)",1,6,91,3,1,1,false,false,
23,22691-04-04,"06 BSP 1/4"" (90)(Г)",1,6,91,3,1,1,false,false,
24,22691-04-04OR,"06 BSP 1/4"" (90)(Г) o-ring",1,6,91,3,1,1,false,true,
25,22691K-04-04OR,"06 BSP 1/4"" (90)(Г) o-ring компакт",1,6,91,3,1,1,false,true,
26,22691K-04-04,"06 BSP 1/4"" (90)(Г) компакт",1,6,91,3,1,1,false,false,
27,22691-04-04T SL,"06 BSP 1/4"" (90)(Г) мал.зам.",1,6,91,3,1,1,false,false,
28,12611-04-04 S14,"06 BSP 1/4"" (Ш) S=14",1,6,91,1,2,1,false,false,14
29,12611-04-04 S17,"06 BSP 1/4"" (Ш) S=17",1,6,91,1,2,1,false,false,17
30,12611A-04-04,"06 BSP 1/4"" (Ш) S=19",1,6,91,1,2,1,true,false,19
31,22611-02-04,06 BSP 1/8'' (0)(Г),1,6,73,1,1,1,false,false,
32,22611-02-04W,"06 BSP 1/8"" (0)(Г)",1,6,73,1,1,1,false,false,
33,22611-02-04T,"06 BSP 1/8"" (0)(Г)",1,6,73,1,1,1,false,false,
34,22641-02-04T,"06 BSP 1/8"" (45)(Г)",1,6,73,2,1,1,false,false,
35,22641-02-04W,"06 BSP 1/8"" (45)(Г)",1,6,73,2,1,1,false,false,
36,22641-02-04,"06 BSP 1/8"" (45)(Г)",1,6,73,2,1,1,false,false,
37,22691-02-04T,"06 BSP 1/8"" (90)(Г)",1,6,73,3,1,1,false,false,
38,22691-02-04W,"06 BSP 1/8"" (90)(Г)",1,6,73,3,1,1,false,false,
39,22691-02-04,"06 BSP 1/8"" (90)(Г)",1,6,73,3,1,1,false,false,
40,12611-02-04,"06 BSP 1/8"" (Ш) S=12",1,6,73,1,2,1,false,false,12
41,12611A-02-04,"06 BSP 1/8"" (Ш) S=14",1,6,73,1,2,1,true,false,14
42,22611-12-04T A,"06 BSP 3/4"" (0)(Г)",1,6,58,1,1,1,false,false,
43,22211-12-04 GAS,"06 BSP 3/4"" (0)(Г) FLAT SEAT газовый",1,6,58,1,1,1,false,false,
44,22611-06-04T,"06 BSP 3/8"" (0)(Г)",1,6,92,1,1,1,false,false,
45,22611-06-04W,"06 BSP 3/8"" (0)(Г)",1,6,92,1,1,1,false,false,
46,22611-06-04,"06 BSP 3/8"" (0)(Г)",1,6,92,1,1,1,false,false,
47,22211-06-04,"06 BSP 3/8"" (0)(Г) FLAT SEAT",1,6,92,1,1,1,false,false,
48,22211-06-04T,"06 BSP 3/8"" (0)(Г) FLAT SEAT",1,6,92,1,1,1,false,false,
49,22641-06-04T,"06 BSP 3/8"" (45)(Г)",1,6,92,2,1,1,false,false,
50,22641-06-04W,"06 BSP 3/8"" (45)(Г)",1,6,92,2,1,1,false,false,
51,22641-06-04,"06 BSP 3/8"" (45)(Г)",1,6,92,2,1,1,false,false,
52,22691-06-04T,"06 BSP 3/8"" (90)(Г)",1,6,92,3,1,1,false,false,
53,22691-06-04W,"06 BSP 3/8"" (90)(Г)",1,6,92,3,1,1,false,false,
54,22691-06-04,"06 BSP 3/8"" (90)(Г)",1,6,92,3,1,1,false,false,
55,12611-06-04,"06 BSP 3/8"" (Ш) S=17",1,6,92,1,2,1,false,false,17
56,12611A-06-04,"06 BSP 3/8"" (Ш) S=22",1,6,92,1,2,1,true,false,22
57,22611-08-05,"08 BSP 1/2"" (0)(Г)",1,8,90,1,1,1,false,false,
58,22611-08-05T,"08 BSP 1/2"" (0)(Г)",1,8,90,1,1,1,false,false,
59,22611-08-05W,"08 BSP 1/2"" (0)(Г)",1,8,90,1,1,1,false,false,
60,22211-08-05T,"08 BSP 1/2"" (0)(Г) FLAT SEAT",1,8,90,1,1,1,false,false,
61,22641-08-05,"08 BSP 1/2"" (45)(Г)",1,8,90,2,1,1,false,false,
62,22641-08-05T,"08 BSP 1/2"" (45)(Г)",1,8,90,2,1,1,false,false,
63,22641-08-05W,"08 BSP 1/2"" (45)(Г)",1,8,90,2,1,1,false,false,
64,22691-08-05,"08 BSP 1/2"" (90)(Г)",1,8,90,3,1,1,false,false,
65,22691-08-05T,"08 BSP 1/2"" (90)(Г)",1,8,90,3,1,1,false,false,
66,22691-08-05W,"08 BSP 1/2"" (90)(Г)",1,8,90,3,1,1,false,false,
67,12611-08-05,"08 BSP 1/2"" (Ш) S=22",1,8,90,1,2,1,false,false,22
68,12611A-08-05 A,"08 BSP 1/2"" (Ш) S=27",1,8,90,1,2,1,true,false,27
69,12611A-08-05,"08 BSP 1/2"" (Ш) S=27",1,8,90,1,2,1,true,false,27
70,22611-04-05W,"08 BSP 1/4"" (0)(Г)",1,8,91,1,1,1,false,false,
71,22611-04-05T,"08 BSP 1/4"" (0)(Г)",1,8,91,1,1,1,false,false,
72,22611-04-05,"08 BSP 1/4"" (0)(Г)",1,8,91,1,1,1,false,false,
73,22641-04-05,"08 BSP 1/4"" (45)(Г)",1,8,91,2,1,1,false,false,
74,22641-04-05T,"08 BSP 1/4"" (45)(Г)",1,8,91,2,1,1,false,false,
75,22641-04-05W,"08 BSP 1/4"" (45)(Г)",1,8,91,2,1,1,false,false,
76,22691-04-05T,"08 BSP 1/4"" (90)(Г)",1,8,91,3,1,1,false,false,
77,22691-04-05W,"08 BSP 1/4"" (90)(Г)",1,8,91,3,1,1,false,false,
78,22691-04-05,"08 BSP 1/4"" (90)(Г)",1,8,91,3,1,1,false,false,
79,12611-04-05,"08 BSP 1/4"" (Ш) S=17",1,8,91,1,2,1,false,false,17
80,12611A-04-05,"08 BSP 1/4"" (Ш) S=19",1,8,91,1,2,1,true,false,19
81,22611-06-05T,"08 BSP 3/8"" (0)(Г)",1,8,92,1,1,1,false,false,
82,22611-06-05W,"08 BSP 3/8"" (0)(Г)",1,8,92,1,1,1,false,false,
83,22611-06-05,"08 BSP 3/8"" (0)(Г)",1,8,92,1,1,1,false,false,
84,22641-06-05T,"08 BSP 3/8"" (45)(Г)",1,8,92,2,1,1,false,false,
85,22641-06-05W,"08 BSP 3/8"" (45)(Г)",1,8,92,2,1,1,false,false,
86,22641-06-05,"08 BSP 3/8"" (45)(Г)",1,8,92,2,1,1,false,false,
87,22691-06-05T,"08 BSP 3/8"" (90)(Г)",1,8,92,3,1,1,false,false,
88,22691-06-05W,"08 BSP 3/8"" (90)(Г)",1,8,92,3,1,1,false,false,
89,22691-06-05,"08 BSP 3/8"" (90)(Г)",1,8,92,3,1,1,false,false,
90,12611-06-05,"08 BSP 3/8"" (Ш) S=17",1,8,92,1,2,1,false,false,17
91,12611A-06-05,"08 BSP 3/8"" (Ш) S=22",1,8,92,1,2,1,true,false,22
92,12611A-06-05 A,"08 BSP 3/8"" (Ш) S=22",1,8,92,1,2,1,true,false,22
93,22611-08-06T,"10 BSP 1/2"" (0)(Г)",1,10,90,1,1,1,false,false,
94,22611-08-06W,"10 BSP 1/2"" (0)(Г)",1,10,90,1,1,1,false,false,
95,22611-08-06,"10 BSP 1/2"" (0)(Г)",1,10,90,1,1,1,false,false,
96,22641-08-06T,"10 BSP 1/2"" (45)(Г)",1,10,90,2,1,1,false,false,
97,22641-08-06W,"10 BSP 1/2"" (45)(Г)",1,10,90,2,1,1,false,false,
98,22641-08-06,"10 BSP 1/2"" (45)(Г)",1,10,90,2,1,1,false,false,
99,22691-08-06T,"10 BSP 1/2"" (90)(Г)",1,10,90,3,1,1,false,false,
100,22692-08-06,"10 BSP 1/2"" (90)(Г)",1,10,90,3,1,2,false,false,
101,22691-08-06W,"10 BSP 1/2"" (90)(Г)",1,10,90,3,1,1,false,false,
102,22691-08-06,"10 BSP 1/2"" (90)(Г)",1,10,90,3,1,1,false,false,
103,12611-08-06,"10 BSP 1/2"" (Ш) S=22",1,10,90,1,2,1,false,false,22
104,12612-08-06,"10 BSP 1/2"" (Ш) S=22",1,10,90,1,2,2,false,false,22
105,12611А-08-06,"10 BSP 1/2"" (Ш) S=27",1,10,90,1,2,1,true,false,27
106,12612А-08-06,"10 BSP 1/2"" (Ш) S=27",1,10,90,1,2,2,true,false,27
107,22611-04-06W,"10 BSP 1/4"" (0)(Г)",1,10,91,1,1,1,false,false,
108,22611-04-06T,"10 BSP 1/4"" (0)(Г)",1,10,91,1,1,1,false,false,
109,22611-04-06,"10 BSP 1/4"" (0)(Г)",1,10,91,1,1,1,false,false,
110,22641-04-06T,"10 BSP 1/4"" (45)(Г)",1,10,91,2,1,1,false,false,
111,22641-04-06W,"10 BSP 1/4"" (45)(Г)",1,10,91,2,1,1,false,false,
112,22641-04-06,"10 BSP 1/4"" (45)(Г)",1,10,91,2,1,1,false,false,
113,22691-04-06T,"10 BSP 1/4"" (90)(Г)",1,10,91,3,1,1,false,false,
114,22691-04-06W,"10 BSP 1/4"" (90)(Г)",1,10,91,3,1,1,false,false,
115,22691-04-06,"10 BSP 1/4"" (90)(Г)",1,10,91,3,1,1,false,false,
116,12611-04-06,"10 BSP 1/4"" (Ш) S=17",1,10,91,1,2,1,false,false,17
117,12611A-04-06,"10 BSP 1/4"" (Ш) S=19",1,10,91,1,2,1,true,false,19
118,22611-02-06,"10 BSP 1/8"" (0)(Г)",1,10,73,1,1,1,false,false,
119,22611-02-06T,"10 BSP 1/8"" (0)(Г)",1,10,73,1,1,1,false,false,
120,22611-02-06W,"10 BSP 1/8"" (0)(Г)",1,10,73,1,1,1,false,false,
121,22641-02-06,"10 BSP 1/8"" (45)(Г)",1,10,73,2,1,1,false,false,
122,22641-02-06T,"10 BSP 1/8"" (45)(Г)",1,10,73,2,1,1,false,false,
123,22641-02-06W,"10 BSP 1/8"" (45)(Г)",1,10,73,2,1,1,false,false,
124,22691-02-06,"10 BSP 1/8"" (90)(Г)",1,10,73,3,1,1,false,false,
125,22691-02-06T,"10 BSP 1/8"" (90)(Г)",1,10,73,3,1,1,false,false,
126,22691-02-06W,"10 BSP 1/8"" (90)(Г)",1,10,73,3,1,1,false,false,
127,12611-02-06,"10 BSP 1/8"" (Ш)",1,10,73,1,2,1,false,false,
128,12611A-02-06,"10 BSP 1/8"" (Ш)",1,10,73,1,2,1,true,false,
129,22611-06-06T,"10 BSP 3/8"" (0)(Г)",1,10,92,1,1,1,false,false,
130,22612-06-06,"10 BSP 3/8"" (0)(Г)",1,10,92,1,1,2,false,false,
131,22611-06-06W,"10 BSP 3/8"" (0)(Г)",1,10,92,1,1,1,false,false,
132,22611-06-06,"10 BSP 3/8"" (0)(Г)",1,10,92,1,1,1,false,false,
133,22211-06-06,"10 BSP 3/8"" (0)(Г) FLAT SEAT ",1,10,92,1,1,1,false,false,
134,22211-06-06T,"10 BSP 3/8"" (0)(Г) FLAT SEAT ",1,10,92,1,1,1,false,false,
135,22611-06-06OR,"10 BSP 3/8"" (0)(Г) o-ring",1,10,92,1,1,1,false,true,
136,22611-06-06OR A,"10 BSP 3/8"" (0)(Г) o-ring",1,10,92,1,1,1,false,false,
137,22611-06-06TOR,"10 BSP 3/8"" (0)(Г) o-ring",1,10,92,1,1,1,false,true,
138,22641-06-06T,"10 BSP 3/8"" (45)(Г)",1,10,92,2,1,1,false,false,
139,22641-06-06W,"10 BSP 3/8"" (45)(Г)",1,10,92,2,1,1,false,false,
140,22641-06-06,"10 BSP 3/8"" (45)(Г)",1,10,92,2,1,1,false,false,
141,22692-06-06,"10 BSP 3/8"" (90)(Г)",1,10,92,3,1,2,false,false,
142,22691-06-06T,"10 BSP 3/8"" (90)(Г)",1,10,92,3,1,1,false,false,
143,22691-06-06W,"10 BSP 3/8"" (90)(Г)",1,10,92,3,1,1,false,false,
144,22691-06-06,"10 BSP 3/8"" (90)(Г)",1,10,92,3,1,1,false,false,
145,22291-06-06,"10 BSP 3/8"" (90)(Г) FLAT SEAT",1,10,92,3,1,1,false,false,
146,22691-06-06OR,"10 BSP 3/8"" (90)(Г) o-ring",1,10,92,3,1,1,false,true,
147,22691K-06-06OR,"10 BSP 3/8"" (90)(Г) o-ring компакт",1,10,92,3,1,1,false,true,
148,22691K-06-06,"10 BSP 3/8"" (90)(Г) компакт",1,10,92,3,1,1,false,false,
149,12611-06-06 S17,"10 BSP 3/8"" (Ш) S=17",1,10,92,1,2,1,false,false,17
150,12612-06-06 S17,"10 BSP 3/8"" (Ш) S=17",1,10,92,1,2,2,false,false,17
151,12611-06-06 S19,"10 BSP 3/8"" (Ш) S=19",1,10,92,1,2,1,false,false,19
152,12611A-06-06,"10 BSP 3/8"" (Ш) S=22",1,10,92,1,2,1,true,false,22
153,12611A-06-06 A,"10 BSP 3/8"" (Ш) S=22",1,10,92,1,2,1,true,false,22
154,22611-08-08T,"12 BSP 1/2"" (0)(Г)",1,12,90,1,1,1,false,false,
155,22612-08-08,"12 BSP 1/2"" (0)(Г)",1,12,90,1,1,2,false,false,
156,22612-08-08T,"12 BSP 1/2"" (0)(Г)",1,12,90,1,1,2,false,false,
157,22611-08-08W,"12 BSP 1/2"" (0)(Г)",1,12,90,1,1,1,false,false,
158,22612-08-08W,"12 BSP 1/2"" (0)(Г)",1,12,90,1,1,2,false,false,
159,22611-08-08,"12 BSP 1/2"" (0)(Г)",1,12,90,1,1,1,false,false,
160,22212-08-08 А,"12 BSP 1/2"" (0)(Г) FLAT",1,12,90,1,1,2,false,false,
161,22211-08-08,"12 BSP 1/2"" (0)(Г) FLAT SEAT ",1,12,90,1,1,1,false,false,
162,22211-08-08T,"12 BSP 1/2"" (0)(Г) FLAT SEAT ",1,12,90,1,1,1,false,false,
163,22212-08-08,"12 BSP 1/2"" (0)(Г) FLAT SEAT ",1,12,90,1,1,2,false,false,
164,22212-08-08T,"12 BSP 1/2"" (0)(Г) FLAT SEAT ",1,12,90,1,1,2,false,false,
165,22211-08-08W,"12 BSP 1/2"" (0)(Г) FLAT SEAT ",1,12,90,1,1,1,false,false,
166,22212-08-08W,"12 BSP 1/2"" (0)(Г) FLAT SEAT ",1,12,90,1,1,2,false,false,
167,22612-08-08OR,"12 BSP 1/2"" (0)(Г) o-ring",1,12,90,1,1,2,false,true,
168,22611-08-08OR,"12 BSP 1/2"" (0)(Г) o-ring",1,12,90,1,1,1,false,true,
169,22611K-08-08,"12 BSP 1/2"" (0)(Г) компакт",1,12,90,1,1,1,false,false,
170,22642-08-08,"12 BSP 1/2"" (45)(Г)",1,12,90,2,1,2,false,false,
171,22642-08-08T,"12 BSP 1/2"" (45)(Г)",1,12,90,2,1,2,false,false,
172,22641-08-08T,"12 BSP 1/2"" (45)(Г)",1,12,90,2,1,1,false,false,
173,22642-08-08W,"12 BSP 1/2"" (45)(Г)",1,12,90,2,1,2,false,false,
174,22641-08-08W,"12 BSP 1/2"" (45)(Г)",1,12,90,2,1,1,false,false,
175,22641-08-08,"12 BSP 1/2"" (45)(Г)",1,12,90,2,1,1,false,false,
176,22691-08-08T,"12 BSP 1/2"" (90)(Г)",1,12,90,3,1,1,false,false,
177,22692-08-08,"12 BSP 1/2"" (90)(Г)",1,12,90,3,1,2,false,false,
178,22692-08-08T,"12 BSP 1/2"" (90)(Г)",1,12,90,3,1,2,false,false,
179,22691-08-08W,"12 BSP 1/2"" (90)(Г)",1,12,90,3,1,1,false,false,
180,22692-08-08W,"12 BSP 1/2"" (90)(Г)",1,12,90,3,1,2,false,false,
181,22691-08-08,"12 BSP 1/2"" (90)(Г)",1,12,90,3,1,1,false,false,
182,22291-08-08,"12 BSP 1/2"" (90)(Г) FLAT SEAT ",1,12,90,3,1,1,false,false,
183,22291-08-08T,"12 BSP 1/2"" (90)(Г) FLAT SEAT ",1,12,90,3,1,1,false,false,
184,22292-08-08,"12 BSP 1/2"" (90)(Г) FLAT SEAT ",1,12,90,3,1,2,false,false,
185,22292-08-08T,"12 BSP 1/2"" (90)(Г) FLAT SEAT ",1,12,90,3,1,2,false,false,
186,22691-08-08TOR,"12 BSP 1/2"" (90)(Г) o-ring",1,12,90,3,1,1,false,true,
187,22692-08-08OR,"12 BSP 1/2"" (90)(Г) o-ring",1,12,90,3,1,2,false,true,
188,22692-08-08TOR,"12 BSP 1/2"" (90)(Г) o-ring",1,12,90,3,1,2,false,true,
189,22691-08-08OR,"12 BSP 1/2"" (90)(Г) o-ring",1,12,90,3,1,1,false,true,
190,22691K-08-08OR,"12 BSP 1/2"" (90)(Г) o-ring компакт",1,12,90,3,1,1,false,true,
191,22691K-08-08,"12 BSP 1/2"" (90)(Г) компакт",1,12,90,3,1,1,false,false,
192,12612-08-08,"12 BSP 1/2"" (Ш) S=22",1,12,90,1,2,2,false,false,22
193,12611-08-08,"12 BSP 1/2"" (Ш) S=22",1,12,90,1,2,1,false,false,22
194,12611L-08-08 L27,"12 BSP 1/2"" (Ш) S=22 (L=27мм) - удлиненная резьба",1,12,90,1,2,1,false,false,22
195,12612L-08-08 L27,"12 BSP 1/2"" (Ш) S=22 (L=27мм) - удлиненная резьба",1,12,90,1,2,2,false,false,22
196,12612L-08-08 L35,"12 BSP 1/2"" (Ш) S=22 (L=35мм) - удлиненная резьба",1,12,90,1,2,2,false,false,22
197,12611A-08-08,"12 BSP 1/2"" (Ш) S=27",1,12,90,1,2,1,true,false,27
198,12612А-08-08,"12 BSP 1/2"" (Ш) S=27",1,12,90,1,2,2,true,false,27
199,12612LA-08-08 L31,"12 BSP 1/2"" (Ш) S=27 (L=31мм) - удлиненная резьба",1,12,90,1,2,2,true,false,27
200,12611LA-08-08 L31,"12 BSP 1/2"" (Ш) S=27 (L=31мм) - удлиненная резьба",1,12,90,1,2,1,true,false,27
201,12612LA-08-08 L35,"12 BSP 1/2"" (Ш) S=27 (L=35мм) - удлиненная резьба",1,12,90,1,2,2,true,false,27
202,12611LA-08-08 L35,"12 BSP 1/2"" (Ш) S=27 (L=35мм) - удлиненная резьба",1,12,90,1,2,1,true,false,27
203,12612LA-08-08 L35 A,"12 BSP 1/2"" (Ш) S=27 (L=35мм) - удлиненная резьба",1,12,90,1,2,2,true,false,27
204,12611LA-08-08 L35 A,"12 BSP 1/2"" (Ш) S=27 (L=35мм) - удлиненная резьба",1,12,90,1,2,1,true,false,27
205,22611-04-08,"12 BSP 1/4"" (0)(Г)",1,12,91,1,1,1,false,false,
206,22612-04-08,"12 BSP 1/4"" (0)(Г)",1,12,91,1,1,2,false,false,
207,22611-04-08T,"12 BSP 1/4"" (0)(Г)",1,12,91,1,1,1,false,false,
208,22612-04-08T,"12 BSP 1/4"" (0)(Г)",1,12,91,1,1,2,false,false,
209,22611-04-08W,"12 BSP 1/4"" (0)(Г)",1,12,91,1,1,1,false,false,
210,22612-04-08W,"12 BSP 1/4"" (0)(Г)",1,12,91,1,1,2,false,false,
211,22641-04-08,"12 BSP 1/4"" (45)(Г)",1,12,91,2,1,1,false,false,
212,22641-04-08T,"12 BSP 1/4"" (45)(Г)",1,12,91,2,1,1,false,false,
213,22641-04-08W,"12 BSP 1/4"" (45)(Г)",1,12,91,2,1,1,false,false,
214,22642-04-08,"12 BSP 1/4"" (45)(Г)",1,12,91,2,1,2,false,false,
215,22642-04-08T,"12 BSP 1/4"" (45)(Г)",1,12,91,2,1,2,false,false,
216,22642-04-08W,"12 BSP 1/4"" (45)(Г)",1,12,91,2,1,2,false,false,
217,22691-04-08,"12 BSP 1/4"" (90)(Г)",1,12,91,3,1,1,false,false,
218,22691-04-08T,"12 BSP 1/4"" (90)(Г)",1,12,91,3,1,1,false,false,
219,22691-04-08W,"12 BSP 1/4"" (90)(Г)",1,12,91,3,1,1,false,false,
220,22692-04-08,"12 BSP 1/4"" (90)(Г)",1,12,91,3,1,2,false,false,
221,22692-04-08T,"12 BSP 1/4"" (90)(Г)",1,12,91,3,1,2,false,false,
222,22692-04-08W,"12 BSP 1/4"" (90)(Г)",1,12,91,3,1,2,false,false,
223,12611-04-08,"12 BSP 1/4"" (Ш) ",1,12,91,1,2,1,false,false,
224,12611A-04-08,"12 BSP 1/4"" (Ш) ",1,12,91,1,2,1,true,false,
225,12612-04-08,"12 BSP 1/4"" (Ш) ",1,12,91,1,2,2,false,false,
226,12612A-04-08,"12 BSP 1/4"" (Ш) ",1,12,91,1,2,2,true,false,
227,12612-04-08 A,"12 BSP 1/4"" (Ш)",1,12,91,1,2,2,false,false,
228,22611-12-08T,"12 BSP 3/4"" (0)(Г)",1,12,58,1,1,1,false,false,
229,22612-12-08T,"12 BSP 3/4"" (0)(Г)",1,12,58,1,1,2,false,false,
230,22612-12-08,"12 BSP 3/4"" (0)(Г)",1,12,58,1,1,2,false,false,
231,22611-12-08W,"12 BSP 3/4"" (0)(Г)",1,12,58,1,1,1,false,false,
232,22612-12-08W,"12 BSP 3/4"" (0)(Г)",1,12,58,1,1,2,false,false,
233,22611-12-08,"12 BSP 3/4"" (0)(Г)",1,12,58,1,1,1,false,false,
234,22641-12-08,"12 BSP 3/4"" (45)(Г)",1,12,58,2,1,1,false,false,
235,22642-12-08T,"12 BSP 3/4"" (45)(Г)",1,12,58,2,1,2,false,false,
236,22641-12-08W,"12 BSP 3/4"" (45)(Г)",1,12,58,2,1,1,false,false,
237,22642-12-08,"12 BSP 3/4"" (45)(Г)",1,12,58,2,1,2,false,false,
238,22642-12-08W,"12 BSP 3/4"" (45)(Г)",1,12,58,2,1,2,false,false,
239,22641-12-08T,"12 BSP 3/4"" (45)(Г)",1,12,58,2,1,1,false,false,
240,22691-12-08T,"12 BSP 3/4"" (90)(Г)",1,12,58,3,1,1,false,false,
241,22692-12-08,"12 BSP 3/4"" (90)(Г)",1,12,58,3,1,2,false,false,
242,22692-12-08T,"12 BSP 3/4"" (90)(Г)",1,12,58,3,1,2,false,false,
243,22692-12-08W,"12 BSP 3/4"" (90)(Г)",1,12,58,3,1,2,false,false,
244,22691-12-08W,"12 BSP 3/4"" (90)(Г)",1,12,58,3,1,1,false,false,
245,22691-12-08,"12 BSP 3/4"" (90)(Г)",1,12,58,3,1,1,false,false,
246,12611-12-08,"12 BSP 3/4"" (Ш) S=27",1,12,58,1,2,1,false,false,27
247,12612-12-08,"12 BSP 3/4"" (Ш) S=27",1,12,58,1,2,2,false,false,27
248,12611А-12-08,"12 BSP 3/4"" (Ш) S=32",1,12,58,1,2,1,true,false,32
249,12612А-12-08,"12 BSP 3/4"" (Ш) S=32",1,12,58,1,2,2,true,false,32
250,22612-06-08,"12 BSP 3/8"" (0)(Г)",1,12,92,1,1,2,false,false,
251,22612-06-08T,"12 BSP 3/8"" (0)(Г)",1,12,92,1,1,2,false,false,
252,22612-06-08W,"12 BSP 3/8"" (0)(Г)",1,12,92,1,1,2,false,false,
253,22611-06-08T,"12 BSP 3/8"" (0)(Г)",1,12,92,1,1,1,false,false,
254,22611-06-08W,"12 BSP 3/8"" (0)(Г)",1,12,92,1,1,1,false,false,
255,22611-06-08,"12 BSP 3/8"" (0)(Г)",1,12,92,1,1,1,false,false,
256,22642-06-08,"12 BSP 3/8"" (45)(Г)",1,12,92,2,1,2,false,false,
257,22642-06-08T,"12 BSP 3/8"" (45)(Г)",1,12,92,2,1,2,false,false,
258,22642-06-08W,"12 BSP 3/8"" (45)(Г)",1,12,92,2,1,2,false,false,
259,22641-06-08T,"12 BSP 3/8"" (45)(Г)",1,12,92,2,1,1,false,false,
260,22641-06-08W,"12 BSP 3/8"" (45)(Г)",1,12,92,2,1,1,false,false,
261,22641-06-08,"12 BSP 3/8"" (45)(Г)",1,12,92,2,1,1,false,false,
262,22692-06-08,"12 BSP 3/8"" (90)(Г)",1,12,92,3,1,2,false,false,
263,22692-06-08T,"12 BSP 3/8"" (90)(Г)",1,12,92,3,1,2,false,false,
264,22692-06-08W,"12 BSP 3/8"" (90)(Г)",1,12,92,3,1,2,false,false,
265,22691-06-08T,"12 BSP 3/8"" (90)(Г)",1,12,92,3,1,1,false,false,
266,22691-06-08W,"12 BSP 3/8"" (90)(Г)",1,12,92,3,1,1,false,false,
267,22691-06-08,"12 BSP 3/8"" (90)(Г)",1,12,92,3,1,1,false,false,
268,12612-06-08,"12 BSP 3/8"" (Ш) S=19",1,12,92,1,2,2,false,false,19
269,12611-06-08,"12 BSP 3/8"" (Ш) S=19",1,12,92,1,2,1,false,false,19
270,12611A-06-08,"12 BSP 3/8"" (Ш) S=22",1,12,92,1,2,1,true,false,22
271,12612A-06-08,"12 BSP 3/8"" (Ш) S=22",1,12,92,1,2,2,true,false,22
272,12611A-06-08 A,"12 BSP 3/8"" (Ш) S=22",1,12,92,1,2,1,true,false,22
273,22612-10-08,"12 BSP 5/8"" (0)(Г)",1,12,93,1,1,2,false,false,
274,22612-10-08T,"12 BSP 5/8"" (0)(Г)",1,12,93,1,1,2,false,false,
275,22612-10-08W,"12 BSP 5/8"" (0)(Г)",1,12,93,1,1,2,false,false,
276,22611-10-08T,"12 BSP 5/8"" (0)(Г)",1,12,93,1,1,1,false,false,
277,22611-10-08W,"12 BSP 5/8"" (0)(Г)",1,12,93,1,1,1,false,false,
278,22611-10-08,"12 BSP 5/8"" (0)(Г)",1,12,93,1,1,1,false,false,
279,22641-10-08T,"12 BSP 5/8"" (45)(Г)",1,12,93,2,1,1,false,false,
280,22641-10-08W,"12 BSP 5/8"" (45)(Г)",1,12,93,2,1,1,false,false,
281,22642-10-08T,"12 BSP 5/8"" (45)(Г)",1,12,93,2,1,2,false,false,
282,22642-10-08,"12 BSP 5/8"" (45)(Г)",1,12,93,2,1,2,false,false,
283,22642-10-08W,"12 BSP 5/8"" (45)(Г)",1,12,93,2,1,2,false,false,
284,22641-10-08,"12 BSP 5/8"" (45)(Г)",1,12,93,2,1,1,false,false,
285,22692-10-08T,"12 BSP 5/8"" (90)(Г)",1,12,93,3,1,2,false,false,
286,22692-10-08,"12 BSP 5/8"" (90)(Г)",1,12,93,3,1,2,false,false,
287,22692-10-08W,"12 BSP 5/8"" (90)(Г)",1,12,93,3,1,2,false,false,
